5 & 0 & 0.1 & 1 & 13 & 0.0335024\\
5 & 0 & 0.1 & 2 & 11 & 0.0333808\\
5 & 0 & 0.1 & 3 & 11 & 0.039593\\
5 & 0 & 0.1 & 4 & 10 & 0.0408642\\
5 & 0 & 0.2 & 1 & 12 & 0.0289286\\
5 & 0 & 0.2 & 2 & 10 & 0.0312918\\
5 & 0 & 0.2 & 3 & 8 & 0.0319578\\
5 & 0 & 0.2 & 4 & 7 & 0.0306212\\
5 & 0 & 0.3 & 1 & 11 & 0.0271198\\
5 & 0 & 0.3 & 2 & 8 & 0.0260092\\
5 & 0 & 0.3 & 3 & 7 & 0.0270754\\
5 & 0 & 0.3 & 4 & 6 & 0.0278156\\
5 & 0 & 0.4 & 1 & 10 & 0.0258268\\
5 & 0 & 0.4 & 2 & 7 & 0.0239492\\
5 & 0 & 0.4 & 3 & 6 & 0.024268\\
5 & 0 & 0.4 & 4 & 5 & 0.023334\\
5 & 0 & 0.5 & 1 & 9 & 0.022868\\
5 & 0 & 0.5 & 2 & 6 & 0.0216788\\
5 & 0 & 0.5 & 3 & 5 & 0.0213924\\
5 & 0 & 0.5 & 4 & 5 & 0.0246188\\
5 & 0 & 0.6 & 1 & 8 & 0.0216616\\
5 & 0 & 0.6 & 2 & 6 & 0.021726\\
5 & 0 & 0.6 & 3 & 5 & 0.0213666\\
5 & 0 & 0.6 & 4 & 5 & 0.0239054\\
5 & 0 & 0.7 & 1 & 7 & 0.0204006\\
5 & 0 & 0.7 & 2 & 5 & 0.0187758\\
5 & 0 & 0.7 & 3 & 5 & 0.0212624\\
5 & 0 & 0.7 & 4 & 5 & 0.0244716\\
5 & 0 & 0.8 & 1 & 7 & 0.0192334\\
5 & 0 & 0.8 & 2 & 5 & 0.0182244\\
5 & 0 & 0.8 & 3 & 5 & 0.0214148\\
5 & 0 & 0.8 & 4 & 4 & 0.0208624\\
5 & 0 & 0.9 & 1 & 8 & 0.0217954\\
5 & 0 & 0.9 & 2 & 6 & 0.02112\\
5 & 0 & 0.9 & 3 & 5 & 0.0207704\\
5 & 0 & 0.9 & 4 & 4 & 0.0221784\\
5 & 0 & 1 & 1 & 45 & 0.093279\\
5 & 0 & 1 & 2 & 5 & 0.0199332\\
5 & 0 & 1 & 3 & 26 & 0.0846422\\
5 & 0 & 1 & 4 & 4 & 0.0217518\\
5 & 1 & 0.1 & 1 & 14 & 0.0341778\\
5 & 1 & 0.1 & 2 & 12 & 0.0357002\\
5 & 1 & 0.1 & 3 & 11 & 0.0396464\\
5 & 1 & 0.1 & 4 & 11 & 0.0452014\\
5 & 1 & 0.2 & 1 & 13 & 0.0306002\\
5 & 1 & 0.2 & 2 & 11 & 0.033355\\
5 & 1 & 0.2 & 3 & 9 & 0.0321194\\
5 & 1 & 0.2 & 4 & 8 & 0.0345496\\
5 & 1 & 0.3 & 1 & 12 & 0.030034\\
5 & 1 & 0.3 & 2 & 9 & 0.0274972\\
5 & 1 & 0.3 & 3 & 8 & 0.0310256\\
5 & 1 & 0.3 & 4 & 7 & 0.033439\\
5 & 1 & 0.4 & 1 & 11 & 0.0264556\\
5 & 1 & 0.4 & 2 & 8 & 0.0251474\\
