&2&3&4&5&6\\
0.1&160&159&160&160&162\\
0.2&78&78&80&80&84\\
0.3&52&54&56&55&60\\
0.4&38&39&44&45&54\\
0.5&30&33&36&40&48\\
0.6&26&30&32&40&42\\
0.7&22&27&32&35&42\\
0.8&20&24&32&35&42\\
0.9&20&24&28&35&36
