0.1,0.999658
0.123797,0.999615
0.147595,0.999575
0.171392,0.999535
0.19519,0.99949
0.218987,0.999442
0.242785,0.99939
0.266582,0.999335
0.29038,0.999277
0.314177,0.999216
0.337975,0.999153
0.361772,0.999087
0.38557,0.999019
0.409367,0.998948
0.433165,0.998875
0.456962,0.998799
0.480759,0.998721
0.504557,0.99864
0.528354,0.998556
0.552152,0.998469
0.575949,0.998379
0.599747,0.998286
0.623544,0.99819
0.647342,0.99809
0.671139,0.997986
0.694937,0.997878
0.718734,0.997767
0.742532,0.997651
0.766329,0.997531
0.790127,0.997406
0.813924,0.997275
0.837722,0.99714
0.861519,0.996999
0.885316,0.996851
0.909114,0.996698
0.932911,0.996537
0.956709,0.996369
0.980506,0.996193
1.0043,0.996009
1.0281,0.995815
1.0519,0.995612
1.0757,0.995398
1.09949,0.995173
1.12329,0.994936
1.14709,0.994685
1.17089,0.99442
1.19468,0.994139
1.21848,0.993841
1.24228,0.993524
1.26608,0.993186
1.28987,0.992825
1.31367,0.992439
1.33747,0.992025
1.36127,0.991579
1.38506,0.991099
1.40886,0.990579
1.43266,0.990015
1.45646,0.9894
1.48025,0.988727
1.50405,0.987988
1.52785,0.987173
1.55165,0.986268
1.57544,0.985257
1.59924,0.98412
1.62304,0.982831
1.64684,0.981357
1.67063,0.979654
1.69443,0.97766
1.71823,0.975289
1.74203,0.972416
1.76582,0.968849
1.78962,0.964277
1.81342,0.958097
1.83722,0.949107
1.86101,0.933726
1.88481,0.970023
1.90861,0.946079
1.93241,0.614982
1.9562,0.700363
1.98,1.24727
