 & CG & 0 & 1 & 2 & 3 & 4 & 5 & 6 \\
\hline
5 & 0.0395048 & 0.0174079 & 0.0195653 & 0.0229873 & 0.0345991 & 0.0504609 &  & \\
6 & 0.293461 & 0.0707119 & 0.0784598 & 0.0985436 & 0.132011 & 0.220969 & 0.400979 & \\
7 & 2.52761 & 0.332513 & 0.425354 & 0.458232 & 0.612455 & 1.01679 & 1.94751 & 3.26469\\
